year,state,division,total_population,fss,homicide_rate,firearm_homicide_rate,nonfirearm_homicide_rate,firearm_suicides,total_suicides,firearm_homicides,nonfirearm_homicides,total_homicides,white_fss,nonwhite_fss,nextyearfss,nextyearnonwhitefss,nextyearwhitefss
1949,Oklahoma,West South Central,2125000,0.556179775,5.835294118,3.435294118,2.4,99,178,73,51,124,0.538461566,0.416666657,0.528795838,0.333333343,0.53513515
1949,Oregon,Pacific,1493000,0.535564854,2.612190221,1.540522438,1.071667783,128,239,23,16,39,0.529661,0.888888896,0.53679651,0.200000003,0.544247806
1949,Pennsylvania,Middle Atlantic,10410000,0.394048693,2.622478386,1.181556196,1.44092219,437,1109,123,150,273,0.392229408,1,0.371480465,0.571428597,0.366262823
1949,Rhode Island,New England,791000,0.164383562,0.505689001,0.252844501,0.252844501,12,73,2,2,4,0.166666672,0.464285702,0.25757575,0.5,0.25
1949,South Carolina,South Atlantic,2004000,0.772727273,12.4750499,8.233532934,4.241516966,102,132,165,85,250,0.779661,0,0.751824796,0.833333313,0.739495814
1949,South Dakota,West North Central,618000,0.467741935,2.265372168,1.132686084,1.132686084,29,62,7,7,14,0.475409836,0.714285731,0.552238822,0.5,0.55384618
1949,Tennessee,East South Central,3267000,0.670175439,9.825528007,6.060606061,3.764921947,191,285,198,123,321,0.667910457,0,0.652014673,0.818181813,0.645038188
1949,Texas,West South Central,7673000,0.562857143,10.0091229,5.799556888,4.209566011,394,700,445,323,768,0.564371288,0.70588237,0.611271679,0.6875,0.607575774
1949,Utah,Mountain,677000,0.655172414,2.215657312,1.329394387,0.886262925,38,58,9,6,15,0.660714269,0.53125,0.492063493,0,0.5
1949,Vermont,New England,367000,0.487804878,0.544959128,0.544959128,0,20,41,2,0,2,0.48780489,0.5,0.634615362,NA,0.634615362
1949,Virginia,South Atlantic,3297000,0.525469169,9.159842281,5.793145284,3.366696997,196,373,191,111,302,0.519287825,NA,0.534246564,0.54838711,0.532934129
1949,Washington,Pacific,2373000,0.394957983,3.244837758,1.812052255,1.432785504,141,357,43,34,77,0.394812673,0.583333313,0.425233632,0.333333343,0.427207649
1949,West Virginia,South Atlantic,1939000,0.605405405,7.065497679,4.486848891,2.578648788,112,185,87,50,137,0.604395628,0.400000006,0.606796145,0.75,0.54954952
1949,Wisconsin,East North Central,3326000,0.316666667,1.322910403,0.60132291,0.721587492,133,420,20,24,44,0.317307681,0.666666687,0.373239428,0.25,0.374407589
1949,Wyoming,Mountain,276000,0.76744186,4.710144928,2.536231884,2.173913043,33,43,7,6,13,0.767441869,0.25,0.620000005,1,0.612244904
1950,Alabama,East South Central,3061743,0.688995215,14.10961011,8.165283631,5.944326483,144,209,250,182,432,0.672131121,0.807692289,0.710382521,0.473684222,0.73780489
1950,Arizona,Mountain,749587,0.589473684,5.736492228,2.66813592,3.068356308,56,95,20,23,43,0.586206913,0.625,0.522935808,0.600000024,0.515151501
1950,Arkansas,West South Central,1909511,0.644444444,7.803044863,4.294293146,3.508751717,87,135,82,67,149,0.6328125,0.75,0.654867232,0.444444448,0.673076928
1950,California,Pacific,10586223,0.378732321,4.364162742,2.087618974,2.276543768,723,1909,221,241,462,0.379141778,0.367647052,0.379233748,0.269230783,0.382504284
1950,Colorado,Mountain,1325089,0.462686567,3.320531677,1.58479921,1.735732468,93,201,21,23,44,0.467336684,0,0.479166657,0.400000006,0.481283426
